1584197738425Error: Configuration property "salt" is not defined   /api/user/signup
1584634372021TypeError: Cannot read property 'username' of undefined   /api/auth/login
1584634424263TypeError: Cannot read property 'username' of undefined   /api/auth/login
1585236992042SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585237737590SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585238065173TypeError: Cannot read property 'type_name' of null   /api/product/
1585238226838TypeError: Cannot read property 'type_name' of null   /api/product/
1585573097753s_product.name cannot be null   /api/product/createProduct
4/5/2020   (SequelizeForeignKeyConstraintError: Cannot add or update a child row: a foreign key constraint fails (`restaurant_management_system`.`s_products`, CONSTRAINT `s_products_ibfk_6` FOREIGN KEY (`menu_type_id`) REFERENCES `m_menu_types` (`id`) ON DELETE CASCADE ON UPDATE CASCADE))   /api/product/createOne
4/5/2020   (SequelizeForeignKeyConstraintError: Cannot add or update a child row: a foreign key constraint fails (`restaurant_management_system`.`s_products`, CONSTRAINT `s_products_ibfk_6` FOREIGN KEY (`menu_type_id`) REFERENCES `m_menu_types` (`id`) ON DELETE CASCADE ON UPDATE CASCADE))   /api/product/createOne
4/5/2020   (RangeError [ERR_HTTP_INVALID_STATUS_CODE]: Invalid status code: 0)   /api/awsS3/getSignedUrl
4/5/2020   (RangeError [ERR_HTTP_INVALID_STATUS_CODE]: Invalid status code: 0)   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   (TypeError: Cannot read property 'bucket' of undefined)   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   ()   /api/awsS3/getSignedUrl
4/5/2020   (TypeError: Cannot read property 'code' of undefined)   /api/awsS3/getSignedUrl
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (productType not found)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (productType not found)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (productType not found)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (productType not found)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/productType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
4/16/2020   (some compulsory input data is missing)   /api/menuType/getOneByTypeName
